YMD,Product1,Product2,Time
20190106,3793922,14992368,1
20190113,2729373,16032383,2
20190120,2800487,16880547,3
20190127,2882470,14338808,4
20190203,3398656,15537038,5
20190210,4021779,17143305,6
20190217,2671152,16409129,7
20190224,2823657,15215034,8
20190303,2896317,16098856,9
20190310,3202899,17474534,10
20190317,3492037,16809733,11
20190324,4337187,15337600,12
20190331,2586896,16201079,13
20190407,2833753,17196841,14
20190414,3083415,18008004,15
20190421,3306260,17477327,16
20190428,4201750,16487195,17
20190505,2888953,17768254,18
20190512,3185251,18774867,19
20190519,3590936,18307455,20
20190526,4466409,17405273,21
20190602,3347699,18013594,22
20190609,4425379,19135409,23
20190616,3032406,18968314,24
20190623,3460708,17835865,25
20190630,3113752,18022695,26
20190707,3957498,20086552,27
20190714,3066521,17011560,28
20190721,3514951,17549118,29
20190728,4152660,17705475,30
20190804,2991833,18329513,31
20190811,3336027,19242627,32
20190818,3696348,18132881,33
20190825,4346590,16848640,34
20190901,2992015,18112022,35
20190908,3115816,18505188,36
20190915,3691413,18274031,37
20190922,4705555,16338909,38
20190929,2616269,17067499,39
20191006,2820865,17487218,40
20191013,3077626,18201476,41
20191020,3436538,17524264,42
20191027,3818714,15410157,43
20191103,2707118,16409283,44
20191110,2968260,17444109,45
20191117,3365089,16829188,46
20191124,3965657,15076863,47
20191201,2665488,15669328,48
20191208,2766199,17417752,49
20191215,3069689,16643861,50
20191222,4514228,15362849,51
20191229,2701797,14780697,52
20200105,3235822,15275010,53
20200112,2443291,16020044,54
20200119,2793118,16733394,55
20200126,3456677,14075171,56
20200202,2441509,15255272,57
20200209,2682939,16629915,58
20200216,3284905,16341083,59
20200223,3956118,14088289,60
20200301,2449279,15304403,61
20200308,2667831,17259060,62
20200315,3307388,16706472,63
20200322,4912213,17287081.9,64
20200329,2806801,16701022.9,65
20200405,2394567,15039991,66
20200412,2734487,16752973,67
20200419,3127745,16950288,68
20200426,4216954,15503968,69
20200503,2729001,17029398,70
20200510,2937023,19299269.9,71
20200517,3435130,18630224,72
20200524,4360225,17718333,73
20200607,3434073,19494647,74
20200614,4557013,20021772,75
20200621,3146519,18634107,76
20200628,2956824,19255970,77
20200631,2786158,18310477,78
20200705,3513010,19983300,79
20200712,3945700,19240815,80
20200719,3000992,17242787,81
20200726,3004792,17389714,82
20200802,3151421,18442540,83
20200809,3370641,19342759,84
20200816,3708548,18966090,85
20200823,4265378,16996127,86
20200906,3012490,19114658,87
20200913,3485546,18458029,88
20200920,4347116,16712113,89
20200927,2621709,17277347,90
20200930,2785994,17826325,91
20201004,2713397,17894595,92
20201011,2888457,18527501,93
20201018,3278654,17591662,94
20201025,3696063,15824591,95
20201101,2657314,16126803,96
20201108,2750868,17330137,97
20201115,3352359,18054229,98
20201122,3752993,16191811,99
20201206,3177381,16098623,100
20201213,4276798,16340193,101
20201220,4073636,16002686,102
20201227,3622182,15118626,103
20201229,2570162,15697413,104
20210103,2224000,15080389,105
20210110,2550300,16608080,106
20210117,2895067,16472131,107
20210124,3345376,14362455,108
20210207,2924417,16233942,109
20210214,3297203,15788470,110
20210221,3682137,14119228,111
20210228,2437818,15116481,112
20210231,2630551,14912630,113
20210304,2556687,16745308,114
20210307,2562194,16920626,115
20210314,3183068,16805865,116
20210321,4133962,14921512,117
20210328,2400540,15802603,118
20210402,2677255,15751096,119
20210411,2745721,18522898.4,120
20210418,3313511,17685042,121
20210425,3672884,16838722,122
20210509,3301844,17633905,123
20210516,3186381,16793883,124
20210523,3844348,15279398,125
20210530,2757751,17121414,126
20210604,2737120,17802055,127
20210606,2766468,17542163,128
20210613,3699956,17244183,129
20210620,4603289,15349891,130
20210627,2712216,15930745,131
20210701,2549276,16796651,132
20210711,2809777,17765472,133
20210718,3286754,16698284,134
20210725,3778437,16047657,135
20210808,3038753,17883195,136
20210815,3140543,16971010,137
20210822,3952859.5,16011966,138
20210829,2526525.5,16443867,139
20210903,2353334,16116244,140
20210905,2670257,17316925.3,141
20210912,3014895,16195213,142
20210919,4059214,15439642,143
20210926,2485506,15939366,144
20211010,2621255,16827546,145
20211017,2790169,15691199,146
20211024,3638756,15033132,147
20211031,2573236,15489036,148
20211107,3143020,15746982,149
20211114,2868485,14573748,150
20211121,3596069,14475004,151
20211128,2170550,14098208,152
20211202,2205205,13619346.2,153
20211205,2394173,15424739,154
20211212,2557073,14104408,155
20211219,3649982,13944093,156
20211226,2095483,14101535,157
20220109,3390121,13633760.4,158
20220116,2319907,14254657.4,159
20220123,2021711,12531338.5,160
20220130,2116941,13034144,161
20220206,2229278,13660065,162
20220213,2419137,13811180,163
20220220,3969091,13387679,164
20220227,2306216,13814822,165
20220303,2123589,14885498,166
20220306,2918831,14966012.4,167
20220313,2380599,13812497.2,168
20220320,3568119,13565127,169
20220327,2010407,14006472,170
20220401,2132262,14172432,171
20220410,2262905,15152021,172
20220417,2379453,13978301,173
20220424,3439577,13284126,174
20220508,2319559,15079720,175
