"Point.Forecast","Lo.95","Hi.95"
37366491.9344757,33427252.7763414,41305731.0926099
38814774.0196795,34278417.243806,43351130.7955529
40697055.6328659,35272554.9187691,46121556.3469627
42124618.2258,36081482.3931152,48167754.0584848
40145923.0040741,33486964.2846618,46804881.7234864
40316199.6682688,33115686.6282877,47516712.70825
38991525.8453306,31278677.4328492,46704374.257812
40865828.6727413,32676162.6959964,49055494.6494862
39749165.543746,31107516.6354785,48390814.4520134
39098953.3889666,30028402.6149088,48169504.1630243
39292957.840091,29812648.610976,48773267.0692061
39284154.6341618,29411177.7863242,49157131.4819993
40870547.7867636,30619893.0510787,51121202.5224486
39646130.8513934,29031244.5086469,50261017.1941399
40078655.3885365,29111620.3966408,51045690.3804322
39667633.369761,28359413.5927456,50975853.1467763
38030533.8890481,26391124.9250728,49669942.8530234
39408918.173871,27447487.0172408,51370349.3305011
38138815.6907493,25863807.1432663,50413824.2382324
38237244.4795082,25656472.1614639,50818016.7975525
37864506.8847691,24985227.7760427,50743785.9934956
37461788.766848,24290766.4758914,50632811.0578047
36924712.9376544,23468271.1273289,50381154.7479799
35460395.5583123,21724463.6960618,49196327.4205627
