"Point.Forecast","Lo.95","Hi.95"
1903134.74690442,1283876.58762203,2522392.90618681
2139840.45845479,1495719.4300485,2783961.48686107
1879902.45845479,1235781.4300485,2524023.48686107
1921753.45845479,1277632.4300485,2565874.48686107
1982881.45845479,1338760.4300485,2627002.48686107
2366126.45845479,1722005.4300485,3010247.48686107
2489743.45845479,1845622.4300485,3133864.48686107
2073319.45845479,1429198.4300485,2717440.48686107
1827529.45845479,1183408.4300485,2471650.48686107
1847078.45845479,1202957.4300485,2491199.48686107
1944646.45845479,1300525.4300485,2588767.48686107
2091760.45845479,1447639.4300485,2735881.48686107
1955794.45845479,1311673.4300485,2599915.48686107
1977210.45845479,1333089.4300485,2621331.48686107
2189601.45845479,1545480.4300485,2833722.48686107
1809948.45845479,1165827.4300485,2454069.48686107
1719217.55845479,1075096.5300485,2363338.58686107
1799704.45845479,1155583.4300485,2443825.48686107
1904846.55845479,1260725.5300485,2548967.58686107
2277959.45845479,1633838.4300485,2922080.48686107
1744325.45845479,1100204.4300485,2388446.48686107
1814046.65845479,1169925.6300485,2458167.68686107
1833704.45845479,1189583.4300485,2477825.48686107
1881782.65845479,1237661.6300485,2525903.68686107
