"Point.Forecast","Lo.95","Hi.95"
14215742.0941735,12146478.4282788,16285005.7600681
12982898.9099002,10408209.0819397,15557588.7378607
14790424.9528468,11720733.8836663,17860116.0220273
15407406.475114,11929297.3026794,18885515.6475487
14666978.2396499,10819600.3269817,18514356.1523182
14760692.5926391,10577467.9511538,18943917.2341244
13270277.895539,8776003.60035952,17764552.1907184
14315994.4598983,9530903.65336995,19101085.2664267
14497201.0076708,9437969.15706529,19556432.8582763
14203024.9328008,8883765.26778739,19522284.5978142
13652689.6353222,8085533.33194813,19219845.9386962
13727228.3389874,7922753.10228924,19531703.5756855
15164597.8872831,9132132.64676381,21197063.1278025
14480383.8511235,8228236.95447837,20732530.7477687
13090988.2337272,6626620.9174815,19555355.549973
14240893.2949611,7571054.55850664,20910732.0314157
13773211.3346749,6904044.51881086,20642378.1505389
13719516.2582703,6656644.5535546,20782387.9629861
13315942.6693161,6064538.61971465,20567346.7189176
13115722.5642206,5680565.22467309,20550879.9037682
13431775.145968,5817297.57773704,21046252.7141989
14211284.1459936,6421613.25369311,22000955.0382941
13160294.0756569,5199284.30405034,21121303.8472635
12030120.3446319,3901382.40096092,20158858.2883029
