"Point.Forecast","Lo.95","Hi.95"
11717115.3972551,10599157.0028956,12835073.7916145
12258087.0067475,11028227.6856191,13487946.3278758
13257959.2441566,12025796.1036189,14490122.3846943
13563144.6020059,12329866.7319207,14796422.472091
12871869.0164304,11631190.5666486,14112547.4662122
12588351.0268104,11336324.8013723,13840377.2522486
12118518.1698124,10856034.2524541,13381002.0871708
13144670.890093,11872913.7618481,14416428.0183379
12648532.6198735,11367778.6330121,13929286.6067348
12402944.1122436,11113109.6807488,13692778.5437385
12216692.101735,10917748.0711955,13515636.1322745
12489609.4990666,11181618.2056026,13797600.7925306
13329147.104527,12012189.3080712,14646104.9009829
12410957.7645023,11085100.5972969,13736814.9317078
12044420.828249,10709722.0132443,13379119.6432537
12790198.9048799,11446714.7557208,14133683.054039
12360874.0677209,11008661.3602468,13713086.775195
12427331.0197954,11066446.0186095,13788216.0209814
12182375.9347032,10812873.7122248,13551878.1571815
12019637.459068,10641571.8940033,13397703.0241328
12034804.3296056,10648228.2734933,13421380.3857178
12132836.927166,10737802.2874063,13527871.5669256
11577449.2159519,10174006.9751309,12980891.4567729
10898746.230535,9486946.46029092,12310546.0007792
