"Point.Forecast","Lo.95","Hi.95"
2344804.73974929,1916880.30160227,2772729.17789631
2091868.73974929,1660530.35169041,2523207.12780817
2450871.73974929,2016146.21109583,2885597.26840275
2576554.73974929,2138468.25797563,3014641.22152295
2515363.73974929,2073941.89416095,2956785.58533763
2359132.73974929,1914400.54391408,2803864.9355845
2015439.73974929,1567421.65276819,2463457.82673039
2199806.73974929,1748526.68644315,2651086.79305544
2275823.73974929,1821305.12983129,2730342.34966729
2314487.73974929,1856753.48604788,2772221.9934507
2225643.73974929,1764716.27554111,2686571.20395747
2151908.73974929,1687810.03525727,2616007.44424132
2470345.73974929,2003097.31785686,2937594.16164172
2186573.73974929,1716196.69097803,2656950.78852055
2113293.73974929,1639808.73654375,2586778.74295484
2273591.73974929,1797019.05010966,2750164.42938892
2173477.73974929,1693837.24024978,2653118.23924881
2454412.73974929,1971723.92797722,2937101.55152137
2125274.73974929,1639556.74619775,2610992.73330083
2023256.73974929,1534528.3391938,2511985.14030478
2101102.73974929,1609382.36213685,2592823.11736173
2305712.73974929,1811018.48062643,2800406.99887215
2180052.73974929,1682402.37025389,2677703.10924469
1926478.73974929,1425889.71618934,2427067.76330924
