"Point.Forecast","Lo.95","Hi.95"
51356665.1648741,46332915.2962612,56380415.0334871
51660609.8596612,46512950.5700506,56808269.1492717
52298419.0855882,46944419.0794227,57652419.0917536
53145844.0374795,47767033.5807239,58524654.4942351
51248626.3417561,45845119.3515332,56652133.3319789
52319342.1392526,46891250.9777972,57747433.3007081
51247034.2335531,45794469.7432647,56699598.7238415
52091777.8072577,46614849.3446577,57568706.2698577
51441597.6714461,45940413.1400819,56942782.2028104
49054065.7640419,43528731.6463794,54579399.8817044
50985235.6248877,45435857.0132332,56534614.2365422
50817056.7798017,45243737.406289,56390376.1533144
52194903.3705742,46597745.6362544,57792061.1048939
50298299.4117952,44677404.4148629,55919194.4087276
51400591.7319225,45756059.2951105,57045124.1687345
51196491.8898335,45528420.5870086,56864563.1926583
48545750.5403087,42854237.7222971,54237263.3583203
50329415.2996543,44614557.1193253,56044273.4799833
47350085.5555066,41611976.9921421,53088194.1188711
49563195.4096131,43801930.2925888,55324460.5266373
48905436.3786467,43121107.4104496,54689765.3468438
48321506.543467,42514205.3220727,54128807.7648613
49940956.5234337,44110773.5640669,55771139.4828005
48118078.2458002,42265103.0020994,53971053.4895011
