"Point.Forecast","Lo.95","Hi.95"
33739225.0902989,30502535.0204952,36975915.1601026
34595398.7202855,31357559.8728734,37833237.5676976
34540469.2911111,31194484.8605148,37886453.7217073
34651215.2277499,31291299.9984756,38011130.4570241
33659150.2312486,30270024.7780359,37048275.6844613
34403702.4854256,30985616.4234137,37821788.5474375
33917036.1847016,30470232.8371018,37363839.5323014
34761458.2453192,31286174.9033843,38236741.5872542
34464428.1912982,30960896.3594982,37967960.0230982
32570330.7597839,29038776.3872531,36101885.1323146
33984418.9194681,30425062.618696,37543775.2202403
33646244.4351792,30059301.6888349,37233187.1815235
34571303.5605348,30956984.9172416,38185622.2038281
33495645.478318,29854156.7381236,37137134.2185124
34819665.3069752,31151207.6972067,38488122.9167436
33378082.6895416,29682853.0316755,37073312.3474077
31655694.4757205,27933885.3438495,35377503.6075915
33373058.8369029,29624858.7083366,37121258.9654691
30699716.6570418,26925310.0555362,34474123.2585475
33489659.1457646,29689226.7778366,37290091.5136926
32093060.5811352,28266779.4658877,35919341.6963828
31629229.086504,27777272.6793512,35481185.4936568
32453907.9631861,28576446.2738446,36331369.6525276
31664553.1812437,27761752.8863252,35567353.4761623
