"Point.Forecast","Lo.95","Hi.95"
14040719.2822311,12617184.4014314,15464254.1630308
14442511.7342436,13005852.6965204,15879170.7719668
14850927.6382254,13401263.2548283,16300592.0216226
15200225.6584802,13737671.5711697,16662779.7457907
14313835.388667,12838504.2081767,15789166.5691573
14597935.4494388,13109936.8856138,16085934.0132639
14286307.7738837,12785748.7581286,15786866.7896388
15037263.2709253,13524248.0715363,16550278.4703143
14819052.2925349,13293682.6234381,16344421.9616318
13970074.4841137,12432449.6074877,15507699.3607397
14568241.4517627,13018458.2749804,16118024.628545
14465750.6277508,12903903.7950378,16027597.4604639
14658961.395785,13085143.3749598,16232779.4166102
14300616.4791298,12714917.6437602,15886315.3144994
14655687.0092299,13058195.7165116,16253178.3019483
14619699.8939229,13010502.558563,16228897.2292828
13633592.0977247,12012773.2620902,15254410.9333593
14371823.0235543,12739465.4243236,16004180.622785
13319241.3358375,11675425.9673777,14963056.7042973
13970208.0701952,12315014.2448675,15625401.8955229
13694992.9569551,12028498.362538,15361487.5513722
13656123.7793296,11978404.5337346,15333843.0249245
13854010.1173205,12165140.820762,15542879.4138791
13344669.1149166,11644722.8996861,15044615.3301471
