"Point.Forecast","Lo.95","Hi.95"
5711213.75210851,4575644.07325036,6846783.43096667
5148775.75210851,4003611.58099025,6293939.92322678
5990072.75210851,4835393.80881564,7144751.69540139
5955914.25210851,4791798.30197514,7120030.20224189
6668525.75210851,5495048.68431984,7842002.81989718
6023577.25210851,4840813.15394825,7206341.35026878
4962223.25210851,3770244.47915665,6154202.02506038
5501951.75210851,4300828.99466913,6703074.5095479
5557577.25210851,4347379.59812394,6767774.90609309
5998399.15210851,4779194.14679532,7217604.1574217
5722253.25210851,4494106.95453167,6950399.54968536
5283547.75210851,4046524.78889292,6520570.7153241
6217299.75210851,4971463.36847154,7463136.13574549
5568308.25210852,4313720.36038286,6822896.14383417
5036505.25210852,3773226.47791195,6299784.02630508
5340328.05210851,4068417.77830515,6612238.32591188
5224752.05210851,3944268.46069567,6505235.64352135
5907972.05210851,4618972.16415332,7196971.9400637
5217506.85210851,3920046.56584944,6514967.13836758
5085988.65210851,3780122.77932891,6391854.52488812
5151299.75210851,3837082.05288155,6465517.45133547
5641662.65210851,4319145.86800618,6964179.43621084
5432542.85210851,4101778.7379608,6763306.96625622
4844482.75210851,3505522.10639322,6183443.3978238
