"Point.Forecast","Lo.95","Hi.95"
4088371.01953632,2367510.15062107,5809231.88845157
4508582.16732178,2787721.29840653,6229443.03623704
3364735.47743386,1643874.60851861,5085596.34634911
3845992.49040554,2125131.62149029,5566853.35932079
2925328.28972348,1204467.42080823,4646189.15863873
3746273.76901096,2025412.90009571,5467134.63792621
4357619.27123732,2636758.40232207,6078480.14015257
3512991.87066223,1792131.00174698,5233852.73957749
3510767.49858259,1789906.62966734,5231628.36749784
3028637.21756556,1307776.34865031,4749498.08648081
3616159.94114661,1895299.07223136,5337020.81006186
4165668.51670447,2444807.64778922,5886529.38561972
3763782.21515622,2042921.34624096,5484643.08407147
3773381.03560937,2052520.16669412,5494241.90452462
4390149.73953108,2669288.87061583,6111010.60844633
3079079.95541978,1358219.08650452,4799940.82433503
3174437.44620719,1453576.57729194,4895298.31512244
3828702.58601139,2107841.71709614,5549563.45492664
3363248.36912678,1642387.50021153,5084109.23804203
3974454.30017064,2253593.43125538,5695315.16908589
3118934.85548635,1398073.98657109,4839795.7244016
3115066.27030037,1394205.40138512,4835927.13921562
3796288.93375606,2075428.06484081,5517149.80267132
4111980.38353001,2391119.51461476,5832841.25244526
