"Point.Forecast","Lo.95","Hi.95"
2900598.86074568,1471353.25824514,4329844.46324622
3351602.93608431,1922357.33358377,4780848.53858485
2386139.0096164,956893.407115858,3815384.61211693
2803125.0751388,1373879.47263826,4232370.67763934
2064306.59010911,635060.987608568,3493552.19260964
2836736.7712886,1407491.16878807,4265982.37378914
3160500.24226726,1731254.63976673,4589745.8447678
2429263.87768085,1000018.27518031,3858509.48018139
2338671.58305772,909425.980557183,3767917.18555826
2152345.9219654,723100.319464865,3581591.52446594
2763760.51918337,1334514.91668283,4193006.12168391
2846607.04267547,1417361.44017493,4275852.645176
2467704.4500598,1038458.84755926,3896950.05256034
3026962.52561694,1597716.9231164,4456208.12811748
3276726.02142823,1847480.41892769,4705971.62392877
1974151.29028224,544905.687781698,3403396.89278277
2210030.25339662,780784.650896083,3639275.85589716
2579226.07650709,1149980.47400656,4008471.67900763
2358933.88031075,929688.277810209,3788179.48281129
3216021.21723224,1786775.6147317,4645266.81973278
1956319.82012273,527074.217622193,3385565.42262327
2195617.88251596,766372.280015425,3624863.4850165
2666739.17523093,1237493.57273039,4095984.77773146
2981724.83450792,1552479.23200738,4410970.43700846
