YMD,Product1,Time
20190106,33437807.75,1
20190113,35073558.45,2
20190120,32645099.16,3
20190127,34642263.42,4
20190203,33675869.75,5
20190210,36985648.41,6
20190217,32974603.45,7
20190224,35570467,8
20190303,34079241.6,9
20190310,38213896.75,10
20190317,35174862,11
20190324,37668439,12
20190331,33837213,13
20190407,37467298.75,14
20190414,35800765,15
20190421,38603352.54,16
20190428,36404870.5,17
20190505,38369910.25,18
20190512,37140364,19
20190519,39344948.5,20
20190526,38737621.79,21
20190602,38697455,22
20190609,39372107,23
20190616,37786228,24
20190623,36865165.25,25
20190630,39275107.75,26
20190707,38612591.25,27
20190714,38291358.44,28
20190721,36530680,29
20190728,39143608.25,30
20190804,36145296,31
20190811,40009287.4,32
20190818,36810296.75,33
20190825,38820199.75,34
20190901,36942626.54,35
20190908,38279728.71,36
20190915,36713599.65,37
20190922,38878726,38
20190929,35239253,39
20191006,38432345.25,40
20191013,36626531.96,41
20191020,37423232.75,42
20191027,35426015.79,43
20191103,36215819.75,44
20191110,34014057.75,45
20191117,35947355.25,46
20191124,34028603.5,47
20191201,34774497.46,48
20191208,34167737.5,49
20191215,35486692,50
20191222,34993235.5,51
20191229,33389735,52
20200105,32728363.25,53
20200112,34934400.25,54
20200119,32240286.75,55
20200126,34041982.5,56
20200202,32138055,57
20200209,35802476.75,58
20200216,32606219.9,59
20200223,35029269.7,60
20200301,32625893,61
20200308,36437347.4,62
20200315,34198825.25,63
20200322,42200682.75,64
20200329,37661437.5,65
20200405,34207787.5,66
20200412,35882720.5,67
20200419,36166056.75,68
20200426,36210917,69
20200503,38618483,70
20200510,37436339,71
20200517,38533462,72
20200524,39405115.95,73
20200607,39735396.96,74
20200614,40303443,75
20200621,38516637.5,76
20200628,39234425,77
20200631,38434073.54,78
20200705,40522922.5,79
20200712,40922353.5,80
20200719,36855960.5,81
20200726,39090646,82
20200802,38049260,83
20200809,40217447,84
20200816,38656105,85
20200823,40079036,86
20200906,39617169,87
20200913,37106165.9,88
20200920,38807681.5,89
20200927,34755276,90
20200930,37094660.5,91
20201004,37563381.6,92
20201011,35868018,93
20201018,37734625.5,94
20201025,35599730,95
20201101,37087770.6,96
20201108,35526211,97
20201115,37792064,98
20201122,36434684.5,99
20201206,33813720.5,100
20201213,36055664.5,101
20201220,34595307.5,102
20201227,33849890,103
20201229,34892672.5,104
20210103,31207795,105
20210110,35334323,106
20210117,33762871.5,107
20210124,34035296,108
20210207,34052469,109
20210214,34059477,110
20210221,28300917,111
20210228,34875583,112
20210231,32625830,113
20210304,35402323,114
20210307,35622364.5,115
20210314,35386457,116
20210321,36579541.5,117
20210328,35087993,118
20210402,35405867,119
20210411,37117498,120
20210418,37664791.5,121
20210425,37058087.5,122
20210509,36727186,123
20210516,35559095.5,124
20210523,36699752.5,125
20210530,36675305,126
20210604,36432977.5,127
20210606,36270899,128
20210613,37043403,129
20210620,36884333.5,130
20210627,36429139.5,131
20210701,35404761,132
20210711,35779298.4,133
20210718,36336396.5,134
20210725,36732620.3,135
20210808,36359420,136
20210815,35790985.46,137
20210822,37011707.5,138
20210829,34546959.8,139
20210903,33648160.8,140
20210905,35382076.8,141
20210912,34148958.1,142
20210919,37409440.4,143
20210926,34064797,144
20211010,34887114.9,145
20211017,34623656.6,146
20211024,35239516,147
20211031,33809194.5,148
20211107,33951018.5,149
20211114,32813253.3,150
20211121,34451660,151
20211128,31440462.7,152
20211202,30899367.5,153
20211205,32307930.5,154
20211212,31927950.3,155
20211219,34062149.7,156
20211226,32379473,157
20220109,31737470.5,158
20220116,29726226.5,159
20220123,28945026.1,160
20220130,29554553,161
20220206,29651809,162
20220213,30777430.5,163
20220220,32502262.6,164
20220227,32143846,165
20220303,32362110.5,166
20220306,32506197.1,167
20220313,32325324.3,168
20220320,31715527.2,169
20220327,32994861,170
20220401,34502930.5,171
20220410,32263526,172
20220417,31326462.5,173
20220424,32592038,174
20220508,33457145,175
