YMD,Product1,Product2,Time
20190106,1539561,2342992,1
20190113,1090031,2326228,2
20190120,1054273,2656372,3
20190127,1104712,2192280,4
20190203,1345256,2343314.5,5
20190210,1669967,2551575.5,6
20190217,1002036,2539782,7
20190224,1059117,2296212,8
20190303,1181300,2502690,9
20190310,1266483,2633067,10
20190317,1439364,2631368,11
20190324,1819593,2369311,12
20190331,965356,2521007,13
20190407,1067310,2636447.5,14
20190414,1205078,2756366,15
20190421,1389866,2821955,16
20190428,1697402,2499010,17
20190505,1048089,2676738.5,18
20190512,1170870,2797481.5,19
20190519,1363158,2806553,20
20190526,1666143,2625265,21
20190602,1397717,2702382.5,22
20190609,1783892,2880417.5,23
20190616,1151291,2850995,24
20190623,1349696,2681196.5,25
20190630,1196512,2738724,26
20190707,1481652,3149426.5,27
20190714,1142771,2632971.5,28
20190721,1311177,2666988,29
20190728,1636299,2702922,30
20190804,1090342,2833459,31
20190811,1227408,2927821,32
20190818,1369472,2820972,33
20190825,1746588,2597366,34
20190901,1158918,2808629,35
20190908,1145286,2845311,36
20190915,1480013,2851319,37
20190922,2040738,2546012,38
20190929,911787,2633971,39
20191006,994901,2792712.5,40
20191013,1126151,2831731,41
20191020,1324739,2807358,42
20191027,1554732,2418266.5,43
20191103,1015608,2550031.5,44
20191110,1050675,2598000,45
20191117,1310488,2636607,46
20191124,1477735,2275475,47
20191201,1027193,2488649.5,48
20191208,1055331,2611158,49
20191215,1220681,2552541,50
20191222,1841306,2267617,51
20191229,1014903,2171957,52
20200105,1269708,2355308,53
20200112,833042,2504359,54
20200119,1026173,2662883,55
20200126,1372128,2186796,56
20200202,861487,2355212,57
20200209,993385,2523812.5,58
20200216,1227754,2463697,59
20200223,1521265,2162691,60
20200301,906016,2386291.5,61
20200308,1067327,2708459,62
20200315,1296830,2643785.5,63
20200322,1899781,2675763,64
20200329,1031033,2727649,65
20200405,872038,2528116.5,66
20200412,1116555,2818872.5,67
20200419,1121637,2630904,68
20200426,1658183,2391492,69
20200503,1011288,2714459,70
20200510,1037322,3028024,71
20200517,1299574,2927232,72
20200524,1659839,2781023,73
20200607,1348819,3050716.5,74
20200614,1799174,3099568.5,75
20200621,1055837,2784314,76
20200628,1044288,2929033,77
20200631,1046342,2875673,78
20200705,1342338,3143739,79
20200712,1585247,3194218,80
20200719,1022990,2671472,81
20200726,1072823,2744965,82
20200802,1191099,2934229,83
20200809,1228700,3030130,84
20200816,1412421,3107316,85
20200823,1609907,2578496,86
20200906,1083836,3018303,87
20200913,1398544,3048270,88
20200920,1657866,2387267,89
20200927,871921,2649093.1,90
20200930,1003476,2839365,91
20201004,993868,2886727.1,92
20201011,1052463,2904045,93
20201018,1228444,2885787,94
20201025,1438748,2520989.1,95
20201101,1048612,2482693.1,96
20201108,947395,2645138,97
20201115,1163782,2893900,98
20201122,1435479,2488301.1,99
20201206,1141736,2528213,100
20201213,1724514,2541968.1,101
20201220,1351590,2490311,102
20201227,1347198,2356328.1,103
20201229,1017342,2391491.1,104
20210103,734574,2416577,105
20210110,881897,2606412,106
20210117,1133009,2752504.9,107
20210124,1403046,2292697.1,108
20210207,1074264,2588468.1,109
20210214,1210983,2534978.1,110
20210221,1240879,1784350,111
20210228,1037377,2484972,112
20210231,906277,2413159,113
20210304,935381,2784796,114
20210307,1063550,2701671,115
20210314,1328500,2692458,116
20210321,1774245,2461169,117
20210328,912356,2610132,118
20210402,1010302,2638903,119
20210411,1037934,3069175,120
20210418,1423111,2881173,121
20210425,1393662,2612295,122
20210509,1218736,2892171,123
20210516,1298871,2735863,124
20210523,1450802,2482927,125
20210530,1092607,2841930,126
20210604,1078219,2967613,127
20210606,998111,2906422,128
20210613,1351263,2750191,129
20210620,1634583,2406498,130
20210627,1239429,2590865,131
20210701,968502,2666882,132
20210711,1011752,2705546,133
20210718,1354975.7,2616702,134
20210725,1445117,2542967,135
20210808,1109130,2861404,136
20210815,1292793,2577632,137
20210822,1342304,2504352,138
20210829,1017651,2664650,139
20210903,917951,2564536,140
20210905,1057722,2845471,141
20210912,1202631,2516333,142
20210919,1656411,2414315,143
20210926,918079,2492161,144
20211010,1039382,2696771,145
20211017,1258348,2571111,146
20211024,1251248,2317537,147
20211031,1028724,2486301,148
20211107,1125269,2467290.1,149
20211114,1103104,2323605,150
20211121,1333389,2276190,151
20211128,872719,2263085,152
20211202,890758,2182579.1,153
20211205,911866,2626502,154
20211212,1043714,2275393,155
20211219,1492567,2143668,156
20211226,880401,2210845,157
20220109,1413237,2252874,158
20220116,850465,2151455,159
20220123,742174,1964083,160
20220130,808000,2013970,161
20220206,945225,2142319,162
20220213,930649,2089079,163
20220220,1518743,2064050,164
20220227,848731,2214354,165
20220303,861459,2397502,166
20220306,1041114,2336818,167
20220313,1021159,2146260,168
20220320,1295154,2102438,169
20220327,771973,2181814,170
20220401,853624,2311624,171
20220410,1024907,2600059,172
20220417,1033234,2311160,173
20220424,1224696,2117618,174
20220508,1004833,2525834,175
